planTime,treeSize,pathCost,bestDistance
20,88,390,242
0,188,720,456
1,33,450,376
5,83,510,208
0,3453,330,112
11,6,150,86
6,2,60,40
4,37,390,315
0,29,330,214
6,3341,150,76
0,24,330,239
0,10,210,133
0,2,60,40
1,316,840,530
0,251,660,462
0,155,480,317
0,23,210,149
0,5,90,38
0,6,180,98
0,21,270,133
0,3242,300,107
0,3326,360,61
0,34,270,148
0,7,120,87
0,34,390,333
0,140,600,452
0,180,570,397
0,104,450,280
1,18,240,133
0,1,30,27
0,27,270,194
0,13,180,88
0,3363,210,168
0,16,210,125
0,14,150,69
0,2,60,34
0,2,60,33
0,3382,300,35
0,334,750,510
0,211,600,390
0,77,420,219
0,67,420,236
0,3348,480,236
0,3382,450,210
0,35,240,144
0,4,90,58
0,31,540,434
0,122,600,373
0,23,210,141
0,4,120,77
0,8,120,46
0,2,60,47
0,4,120,44
0,4,90,33
0,83,390,189
0,67,360,190
0,35,300,143
0,17,180,105
0,4,90,52
0,122,510,305
0,135,690,478
0,66,450,309
0,53,480,332
0,56,420,289
0,76,630,511
3,40,450,399
0,84,360,234
0,12,150,101
0,7,120,75
0,10,150,98
0,12,180,89
0,3,90,57
0,4,90,26
0,141,570,436
0,67,390,305
0,8,180,141
0,239,630,451
0,199,630,506
0,281,660,494
0,193,600,468
0,189,540,397
0,3286,660,280
0,23,210,144
0,7,120,61
0,7,120,60
0,3,90,69
0,3208,720,58
0,85,450,312
0,64,390,256
0,18,210,148
0,3143,150,41
0,27,390,336
0,64,450,266
0,45,330,217
0,3318,270,154
0,10,150,92
0,4,90,60
0,3,90,52
0,2,60,46
0,4,90,35
0,73,360,284
0,3094,570,265
0,3136,720,490
0,105,510,414
0,41,360,283
0,9,210,129
0,7,210,177
0,19,240,201
0,32,240,162
0,21,180,93
0,2,60,29
0,134,510,341
0,90,480,278
0,55,300,211
0,23,210,121
0,7,120,52
0,3,90,49
0,3,90,57
2,3162,210,48
0,3263,420,29
0,120,660,565
0,204,720,496
0,45,450,359
0,24,360,290
0,89,600,417
0,133,630,487
0,153,660,485
0,80,540,416
0,37,390,326
0,54,360,265
0,3057,630,206
0,3059,720,146
0,3315,480,98
0,3158,300,67
0,6,180,54
0,2,60,39
0,33,630,292
0,56,540,280
0,52,390,189
0,81,450,273
2,65,390,220
0,23,210,141
0,13,150,64
0,3,90,52
0,7,120,56
0,2,60,48
0,26,330,227
0,73,480,209
0,45,330,225
0,26,240,173
0,10,150,92
0,51,330,236
3,55,360,196
0,25,270,123
0,3228,990,55
0,4,90,36
2,4,120,48
0,141,630,437
0,115,570,365
0,54,420,231
0,24,600,525
0,144,690,581
0,189,780,578
0,303,840,542
0,160,600,437
0,140,540,392
0,106,420,270
0,31,210,121
0,8,120,55
0,25,330,130
2,4,120,82
0,2,60,30
1,13,240,135
0,2831,210,53
0,94,450,303
0,107,690,432
0,291,750,492
0,138,510,373
0,67,330,202
0,4,90,38
0,366,870,657
0,145,630,459
0,44,300,217
0,23,210,128
0,4,120,118
0,6,180,122
0,8,210,115
0,7,210,92
0,11,240,79
2,17,270,61
0,3046,210,39
0,2984,540,30
0,41,360,76
0,3246,450,77
0,5,90,55
0,3148,450,42
4,3090,510,55
3,3,90,47
3,3250,450,27
0,3264,660,455
0,88,570,329
0,82,570,404
0,46,540,457
0,40,510,433
0,51,480,350
0,66,480,322
0,78,510,289
0,14,330,209
0,11,150,92
0,156,630,448
1,169,660,451
0,87,510,390
0,54,390,253
0,54,330,247
0,7,120,77
0,35,450,398
0,72,510,413
0,121,480,349
0,66,450,336
0,75,450,348
0,28,330,272
0,16,210,153
0,4,90,41
2,54,330,218
0,58,330,169
3,3030,330,94
0,237,660,410
0,120,540,383
0,96,450,305
0,27,330,230
2,66,420,286
0,55,390,251
0,26,270,174
0,4,120,87
0,4,90,47
0,3,90,61
2,8,120,61
6,3141,630,40
0,152,510,300
3,3298,330,245
0,26,300,162
2,5,150,96
0,10,150,93
0,2,60,28
0,29,300,167
0,21,240,155
0,17,210,105
0,3,90,65
0,129,660,412
0,155,630,393
0,111,570,355
0,3232,720,439
0,500,810,452
5,3098,960,390
0,3164,570,328
0,47,360,225
1,30,240,139
0,67,450,42
0,31,330,217
0,7,210,188
0,5,150,117
0,4,90,43
0,4,90,34
0,3,90,49
3,3101,450,44
0,50,390,261
2,68,420,223
4,106,540,136
0,3309,120,45
5,3293,840,457
10,3084,810,388
3,3257,450,259
2,15,180,99
1,4,120,48
0,3292,360,80
3,40,330,84
0,3171,390,96
2,14,240,109
0,519,990,681
4,404,840,606
0,300,720,447
2,66,390,324
3,12,210,84
0,14,210,132
0,45,360,282
3,3350,270,195
0,7,120,83
0,22,270,186
3,4,120,72
0,4,120,84
4,7,120,71
1,4,90,42
0,74,390,266
0,50,330,227
0,3026,720,502
0,130,630,542
0,73,510,397
0,37,360,279
0,58,360,298
0,84,390,263
0,29,240,167
0,7,120,80
10,4,90,41
0,3,90,54
4,3055,270,78
0,14,210,83
2,18,240,105
0,27,270,120
0,14,180,119
1,15,180,82
0,4,90,30
0,40,360,197
2,7,180,87
0,4,120,69
0,4,120,81
1,3135,480,68
0,3,90,41
4,37,330,227
3,23,300,210
0,60,330,204
0,14,240,165
0,6,180,137
0,11,150,79
0,2,60,26
0,3309,210,153
0,12,180,103
0,3,90,46
0,228,660,460
6,179,600,407
0,77,420,290
5,11,180,139
4,3149,570,397
0,3019,1170,348
3,3285,810,198
5,3061,1170,64
0,3240,150,84
5,3331,360,92
0,10,150,70
0,3,90,40
0,59,360,244
0,62,330,212
0,26,210,132
0,4,90,37
0,7,120,75
0,3214,870,562
0,7,120,78
0,17,180,105
0,40,270,182
2,30,240,165
0,21,180,100
0,4,90,33
0,196,840,667
0,183,780,608
0,92,600,483
2,57,390,300
3,17,180,106
0,3200,390,79
0,3219,240,135
9,24,240,138
0,5,150,88
3,3,90,33
0,190,660,481
0,202,630,415
0,3293,300,191
3,84,420,317
6,33,270,202
0,5,120,71
0,135,570,407
0,84,420,307
0,19,210,147
2,3,90,65
0,21,210,152
0,10,150,108
0,7,120,61
0,2,60,38
0,4,90,37
2,4,90,33
0,2965,690,417
3,3081,660,355
0,3302,450,227
0,2855,270,129
0,4,120,60
0,463,960,679
0,195,750,569
0,108,540,395
0,42,270,189
0,10,180,67
3,5,150,57
0,3,90,40
0,69,480,336
0,251,660,281
5,3033,720,289
0,318,720,366
5,2884,480,367
0,46,420,295
4,38,330,168
0,18,180,89
0,13,180,106
0,3095,480,86
0,2,60,51
0,30,270,148
0,18,240,120
0,15,210,69
0,17,300,182
0,31,390,152
0,8,150,109
0,21,180,77
5,3223,240,60
0,16,210,128
0,5,120,77
0,2,60,35
0,83,540,362
0,43,450,347
0,33,390,255
0,3294,480,142
0,12,150,109
0,7,120,63
0,4,90,33
0,2,60,34
2,2,60,34
0,2,60,25
0,78,510,427
0,65,450,371
0,9,270,244
0,6,150,98
0,261,690,480
0,263,660,486
0,261,630,434
0,3082,630,310
0,2992,420,155
0,2,60,20
0,19,240,169
0,6,150,91
0,2,60,24
0,12,360,324
0,10,300,250
0,13,180,133
0,4,90,25
0,28,270,200
0,7,210,144
0,6,180,117
0,18,180,94
0,4,90,59
0,2,60,31
0,2,60,26
0,1,30,26
0,17,270,142
0,11,210,128
0,4,120,77
0,1,30,23
0,157,630,439
0,114,480,325
0,45,360,224
0,186,600,389
0,3239,930,343
0,48,300,192
0,10,150,102
0,7,120,75
0,7,120,74
0,3,90,65
0,4,90,44
0,211,690,486
0,138,600,407
0,154,630,444
0,268,780,548
0,403,870,579
0,316,810,539
0,198,660,408
0,126,600,399
0,35,270,195
0,4,120,76
0,2,60,32
0,4,90,62
0,7,120,65
0,4,90,46
0,189,690,538
0,3224,810,529
0,135,600,454
0,83,450,312
0,25,210,140
0,3159,930,446
0,263,690,476
0,173,600,463
0,168,600,406
0,164,630,479
0,107,600,486
0,3043,930,549
0,3348,840,499
0,67,540,407
0,61,510,389
0,107,570,431
0,177,600,417
0,18,540,507
0,94,570,466
0,13,390,346
0,18,270,182
0,2,60,33
0,98,450,305
0,27,240,158
0,14,150,66
0,10,150,80
0,4,120,88
0,4,120,66
0,1,30,30
0,67,390,269
0,46,300,212
0,39,240,146
0,4,120,80
0,3,90,44
0,7,180,48
0,16,180,115
0,4,120,79
0,2,60,36
0,3284,780,542
0,191,690,480
0,171,600,401
0,86,450,311
0,100,510,376
0,3221,690,372
0,3142,540,299
0,30,300,190
0,11,210,161
0,10,180,102
0,7,120,67
0,8,120,45
0,2,60,34
0,2,60,29
0,2,60,23
0,14,270,134
0,3203,300,134
2,40,330,218
0,34,330,231
0,6,120,81
0,23,210,108
0,18,180,93
0,26,270,167
0,4,120,100
0,3071,630,102
0,3,90,61
0,8,240,210
0,26,300,213
0,19,210,151
0,7,120,62
0,251,660,463
0,252,660,442
0,143,510,363
0,54,330,221
0,2939,360,75
0,3308,420,64
0,3232,210,94
0,3272,210,92
0,3113,360,70
0,3272,240,89
0,3265,210,69
5,3,90,36
0,34,360,259
0,167,600,425
0,112,540,329
0,44,270,167
0,2,60,20
0,47,300,207
0,39,240,138
0,4,90,55
0,75,360,229
0,25,300,209
0,43,300,157
0,3235,300,92
0,2,60,22
0,468,870,586
0,82,450,310
0,145,570,390
0,129,540,392
0,118,480,334
0,133,450,302
0,66,330,214
0,3066,360,128
0,10,180,120
0,13,150,88
0,2,60,34
0,9,270,228
0,16,210,152
0,7,120,72
0,27,300,203
0,13,240,118
0,21,270,187
0,17,270,184
