planTime,treeSize,pathCost,bestDistance
20,16,480,329
3,19,570,373
5,13,390,291
0,9,240,156
0,3,90,43
0,6,180,127
10,3378,420,196
0,5,150,129
0,4,120,92
0,3,90,43
0,9,270,182
0,4,120,73
0,3208,240,39
0,27,810,545
0,24,720,500
2,19,570,398
0,11,330,247
0,8,240,99
0,5,150,58
0,4,120,75
0,4,120,67
0,2,60,44
0,15,450,271
0,13,390,263
0,10,300,190
0,4,120,78
0,10,300,166
0,6,180,127
2,4,120,76
2,3,90,42
0,9,270,232
0,6,180,135
3,4,120,55
0,12,360,186
0,16,480,201
0,10,300,200
0,3210,270,139
0,3154,270,65
0,30,900,579
0,27,810,547
0,22,660,450
0,19,510,294
0,6,180,110
0,19,570,446
0,9,270,173
0,6,180,157
0,15,450,346
0,14,420,342
0,10,270,199
0,11,330,163
0,8,240,180
0,3285,540,138
3,4,120,71
0,25,750,523
0,25,750,518
10,3327,660,312
0,12,360,251
0,7,210,142
0,3,90,38
0,3418,660,173
0,15,300,91
0,9,240,163
0,15,450,311
0,13,390,269
0,8,240,172
0,18,540,477
0,17,510,375
0,14,420,283
0,9,270,198
0,6,180,137
0,5,150,79
0,21,630,448
0,19,570,358
0,10,300,220
0,4,120,81
0,2,60,40
0,2,60,36
0,7,210,129
0,8,240,115
7,3424,90,76
0,3135,270,76
0,6,180,80
0,3,90,58
0,3500,120,27
0,5,150,109
0,3,90,52
0,6,180,102
0,3,90,67
0,3,90,38
0,2,60,26
0,21,630,424
0,18,540,373
5,3385,720,384
0,20,600,397
0,10,300,252
0,9,270,207
0,5,150,119
1,2,60,34
0,15,420,278
0,10,300,201
0,7,210,187
0,7,210,140
0,4,120,85
0,3,90,45
0,3,90,37
0,2,60,38
0,2,60,32
0,25,690,474
0,30,720,419
0,18,540,293
0,17,510,319
0,26,780,558
0,24,720,504
0,19,570,387
0,11,330,220
0,4,120,68
0,3,90,58
0,5,150,95
0,14,420,94
0,5,150,92
0,4,120,61
0,14,420,293
4,13,390,298
0,11,330,237
0,5,150,132
0,3101,420,36
0,21,600,371
0,14,420,303
0,9,270,186
0,26,780,638
9,3085,930,424
0,2968,630,208
0,3,90,44
0,3,90,35
0,3,90,26
0,2,60,18
0,2,60,15
0,2,60,18
0,26,780,604
0,23,690,567
0,20,600,458
0,16,480,321
0,12,360,266
0,7,210,138
0,2,60,27
0,2929,1080,499
0,21,600,395
0,15,450,303
0,8,240,202
0,6,180,117
0,4,120,81
0,6,180,78
0,5,150,68
0,3,90,48
0,3051,150,27
0,6,180,89
0,4,120,64
0,3,90,30
0,26,780,524
0,33,990,770
0,32,930,714
0,30,870,685
0,27,780,595
0,17,510,444
0,10,300,246
4,3251,690,77
0,3319,180,80
0,3210,180,128
0,3011,390,122
0,7,210,78
0,4,120,101
0,3239,660,84
0,10,300,244
0,9,270,190
