minCost,astarCost,gbfsCost
429,540,540
388,510,510
279,390,390
135,180,180
370,450,450
236,390,630
337,390,390
223,270,270
90,120,120
429,660,660
441,660,660
401,600,600
307,420,420
163,210,210
59,120,120
68,120,120
85,150,150
70,120,120
41,90,90
118,180,180
74,120,120
28,60,60
210,330,330
149,210,210
119,300,300
117,450,450
102,120,120
57,120,120
223,330,330
326,750,750
208,570,570
79,120,120
233,300,300
121,180,180
30,60,60
32,60,60
204,330,330
104,180,180
24,60,60
81,150,150
57,90,90
39,90,90
28,60,60
409,630,630
386,690,690
354,420,420
255,330,330
116,150,150
407,540,540
411,570,570
356,480,480
247,390,390
113,180,180
48,90,90
74,150,150
80,150,150
60,120,120
30,60,60
126,210,210
74,300,300
167,270,270
97,180,180
34,60,60
149,210,210
96,150,150
41,120,120
258,390,390
177,300,300
80,150,150
274,390,390
131,210,210
238,390,390
245,300,300
198,300,300
106,180,180
40,90,90
38,60,60
51,120,120
46,120,120
29,90,90
195,270,270
127,240,240
266,360,360
170,240,240
71,120,120
529,750,750
426,630,630
265,390,390
89,90,90
57,90,90
105,150,150
99,180,180
61,120,120
393,480,480
327,390,390
205,270,270
62,90,90
180,390,390
77,180,180
60,90,90
379,450,450
305,360,360
213,390,390
142,270,630
327,450,450
254,420,360
264,390,390
112,210,210
45,60,60
99,150,150
97,150,150
66,150,150
26,90,90
102,180,180
52,90,90
318,510,510
280,420,420
177,270,270
63,120,120
190,570,570
162,600,600
130,600,600
118,570,570
74,150,150
27,60,60
262,390,390
183,270,270
82,120,120
301,390,1050
194,330,930
76,120,120
45,90,90
67,90,90
65,90,90
44,120,120
444,690,690
388,570,570
270,390,390
123,180,180
464,630,630
405,510,510
280,360,360
142,210,210
127,210,210
178,270,270
274,390,390
248,360,360
163,240,240
64,150,150
579,810,810
444,660,660
243,360,360
76,120,120
85,120,120
134,240,240
119,180,180
76,120,120
27,90,90
362,810,1050
235,300,300
217,240,240
158,240,240
86,180,180
43,90,90
52,60,60
424,540,540
380,450,450
252,360,360
110,240,480
366,420,420
319,450,450
228,360,360
113,180,180
58,120,120
73,90,90
72,150,150
53,150,150
29,60,60
350,510,510
271,450,450
236,360,360
179,450,450
105,240,240
60,120,120
73,120,120
68,120,120
42,90,90
196,270,270
285,450,450
229,810,990
